-35,18,2
-24,17,14
-21,-11,9
-11,-14,4
-20,0,-5
-46,8,-9
-113,35,1
-128,46,28
-115,38,10
-69,29,26
-49,16,27
-19,20,35
-28,21,32
-29,24,28
-59,-2,14
-63,11,19
-58,18,20
-56,5,20
-54,4,22
-54,9,28
-73,4,28
-80,1,26
-83,15,28
-78,29,34
-79,21,34
-68,13,35
-58,8,35
-44,3,38
-28,-2,41
-18,-7,40
-8,-21,37
0,-26,37
20,-40,33
27,-41,20
13,-23,17
-31,11,18
-58,31,24
-128,45,63
-128,25,51
-93,4,45
-44,4,45
-29,7,46
-16,-1,43
12,-21,34
22,-23,31
11,-11,32
-38,34,60
-103,17,87
-82,2,72
-50,-7,64
-8,-19,48
10,-13,47
12,-9,46
-39,7,68
-67,5,78
-58,-1,72
-27,-21,54
-13,-28,48
13,-38,39
47,-45,39
65,-44,41
54,0,59
15,17,64
-128,15,89
-121,-4,74
-90,-10,57
-38,-15,35
-18,-18,29
13,-24,27
27,-38,25
33,-42,26
39,-35,33
38,-35,34
21,-37,43
2,-25,62
-6,-22,70
-7,-23,71
4,-32,62
12,-32,58
20,-34,52
19,-36,49
14,-32,50
7,-34,49
4,-39,46
-5,-27,50
-14,-24,46
-17,-25,43
-25,-10,44
-26,8,55
-43,5,49
-44,3,54
-45,3,53
-46,9,57
-44,15,57
-42,11,53
-45,7,50
-45,6,50
-55,9,45
-55,6,39
-57,3,41
-56,10,37
-55,12,37
-54,8,36
-56,6,34
-57,9,36
-55,10,38
-52,9,37
-52,2,35
-49,-1,32
-52,2,32
-51,5,38
-51,7,40
-48,9,44
-47,3,41
-51,8,42
-44,17,46
-38,17,49
-45,8,44
-44,5,43
-43,6,43
-43,4,42
-47,9,43
-47,12,44
-52,13,47
-53,12,47
-48,9,45
-47,7,43
-45,6,42
-44,5,42
-42,6,42
-43,10,46
-44,11,48
-45,11,48
-43,11,48
-44,10,47
-44,9,48
-44,10,48
-44,10,47
-44,9,46
-48,7,45
-46,6,45
-43,5,46
-44,4,46
-47,5,47
-49,3,46
-47,2,46
-43,0,45
-43,-1,44
-49,2,46
-48,0,44
-46,-1,44
-45,0,44
-47,-1,44
-48,0,44
-48,0,44
-47,-1,44
-47,-2,43
-47,-2,43
-47,-2,42
-47,-3,41
-48,-3,42
-52,-2,42
-53,-3,41
-51,-3,41
-51,-2,41
-54,-1,41
-54,-2,41
-54,-1,42
-55,0,42
-50,-2,43
-47,-1,44
-45,-2,43
-47,0,45
-44,-2,44
-44,-2,45
-44,-2,45
-43,-2,46
-44,-2,45
-44,-2,45
-47,-1,46
-47,-2,47
-46,-2,47
-46,-2,47
-45,-2,46
-45,-2,46
-46,-3,46
-45,-3,46
-45,-2,47
-45,-2,47
-45,-2,47
-44,-2,47
-44,-3,47
-44,-3,47
-44,-3,48
-44,-3,48
-43,-3,47
-43,-3,47
-43,-3,48
-43,-3,47
-44,-2,48
-44,-2,48
-45,-2,48
-45,-2,48
-44,-2,48
-44,-2,48
-43,-2,48
